file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,112,css,0ead097c,Camille Sicat,2025-02-06,16:07:56,-08:00,2025-02-06T16:07:56-08:00,0,0
style.css,113,css,06d91e05,Camille Sicat,2025-01-17,11:30:40,-08:00,2025-01-17T11:30:40-08:00,0,20
style.css,114,css,06d91e05,Camille Sicat,2025-01-17,11:30:40,-08:00,2025-01-17T11:30:40-08:00,0,17
style.css,115,css,06d91e05,Camille Sicat,2025-01-17,11:30:40,-08:00,2025-01-17T11:30:40-08:00,0,26
style.css,116,css,06d91e05,Camille Sicat,2025-01-17,11:30:40,-08:00,2025-01-17T11:30:40-08:00,0,44
style.css,117,css,06d91e05,Camille Sicat,2025-01-17,11:30:40,-08:00,2025-01-17T11:30:40-08:00,0,20
style.css,118,css,06d91e05,Camille Sicat,2025-01-17,11:30:40,-08:00,2025-01-17T11:30:40-08:00,0,21
style.css,119,css,06d91e05,Camille Sicat,2025-01-17,11:30:40,-08:00,2025-01-17T11:30:40-08:00,0,0
style.css,120,css,06d91e05,Camille Sicat,2025-01-17,11:30:40,-08:00,2025-01-17T11:30:40-08:00,0,0
style.css,121,css,06d91e05,Camille Sicat,2025-01-17,11:30:40,-08:00,2025-01-17T11:30:40-08:00,0,6
style.css,122,css,06d91e05,Camille Sicat,2025-01-17,11:30:40,-08:00,2025-01-17T11:30:40-08:00,0,26
style.css,123,css,06d91e05,Camille Sicat,2025-01-17,11:30:40,-08:00,2025-01-17T11:30:40-08:00,0,18
style.css,124,css,06d91e05,Camille Sicat,2025-01-17,11:30:40,-08:00,2025-01-17T11:30:40-08:00,0,0
style.css,125,css,06d91e05,Camille Sicat,2025-01-17,11:30:40,-08:00,2025-01-17T11:30:40-08:00,0,0
style.css,126,css,d9d17372,Camille Sicat,2025-01-17,20:24:42,-08:00,2025-01-17T20:24:42-08:00,0,7
style.css,127,css,d9d17372,Camille Sicat,2025-01-17,20:24:42,-08:00,2025-01-17T20:24:42-08:00,0,46
style.css,128,css,a606de8e,Camille Sicat,2025-01-24,00:53:45,-08:00,2025-01-24T00:53:45-08:00,0,70
style.css,129,css,d9d17372,Camille Sicat,2025-01-17,20:24:42,-08:00,2025-01-17T20:24:42-08:00,0,21
style.css,130,css,d9d17372,Camille Sicat,2025-01-17,20:24:42,-08:00,2025-01-17T20:24:42-08:00,0,0
style.css,131,css,d9d17372,Camille Sicat,2025-01-17,20:24:42,-08:00,2025-01-17T20:24:42-08:00,0,0
style.css,132,css,06d91e05,Camille Sicat,2025-01-17,11:30:40,-08:00,2025-01-17T11:30:40-08:00,0,5
style.css,133,css,06d91e05,Camille Sicat,2025-01-17,11:30:40,-08:00,2025-01-17T11:30:40-08:00,0,18
style.css,134,css,06d91e05,Camille Sicat,2025-01-17,11:30:40,-08:00,2025-01-17T11:30:40-08:00,0,11
style.css,135,css,06d91e05,Camille Sicat,2025-01-17,11:30:40,-08:00,2025-01-17T11:30:40-08:00,0,0
style.css,136,css,06d91e05,Camille Sicat,2025-01-17,11:30:40,-08:00,2025-01-17T11:30:40-08:00,0,0
style.css,137,css,06d91e05,Camille Sicat,2025-01-17,11:30:40,-08:00,2025-01-17T11:30:40-08:00,0,3
style.css,138,css,987e21fe,Camille Sicat,2025-01-16,15:36:32,-08:00,2025-01-16T15:36:32-08:00,0,9
style.css,139,css,06d91e05,Camille Sicat,2025-01-17,11:30:40,-08:00,2025-01-17T11:30:40-08:00,0,19
style.css,140,css,06d91e05,Camille Sicat,2025-01-17,11:30:40,-08:00,2025-01-17T11:30:40-08:00,0,18
style.css,141,css,d9d17372,Camille Sicat,2025-01-17,20:24:42,-08:00,2025-01-17T20:24:42-08:00,0,0
style.css,142,css,d9d17372,Camille Sicat,2025-01-17,20:24:42,-08:00,2025-01-17T20:24:42-08:00,0,0
style.css,143,css,d9d17372,Camille Sicat,2025-01-17,20:24:42,-08:00,2025-01-17T20:24:42-08:00,0,9
style.css,144,css,d9d17372,Camille Sicat,2025-01-17,20:24:42,-08:00,2025-01-17T20:24:42-08:00,0,46
style.css,145,css,d9d17372,Camille Sicat,2025-01-17,20:24:42,-08:00,2025-01-17T20:24:42-08:00,0,58
style.css,146,css,d9d17372,Camille Sicat,2025-01-17,20:24:42,-08:00,2025-01-17T20:24:42-08:00,0,21
style.css,147,css,a606de8e,Camille Sicat,2025-01-24,00:53:45,-08:00,2025-01-24T00:53:45-08:00,0,0
style.css,148,css,259f43a9,Camille Sicat,2025-01-24,11:27:23,-08:00,2025-01-24T11:27:23-08:00,0,0
style.css,149,css,259f43a9,Camille Sicat,2025-01-24,11:27:23,-08:00,2025-01-24T11:27:23-08:00,0,14
style.css,150,css,259f43a9,Camille Sicat,2025-01-24,11:27:23,-08:00,2025-01-24T11:27:23-08:00,0,18
style.css,151,css,259f43a9,Camille Sicat,2025-01-24,11:27:23,-08:00,2025-01-24T11:27:23-08:00,0,9
style.css,152,css,259f43a9,Camille Sicat,2025-01-24,11:27:23,-08:00,2025-01-24T11:27:23-08:00,0,11
style.css,153,css,259f43a9,Camille Sicat,2025-01-24,11:27:23,-08:00,2025-01-24T11:27:23-08:00,0,14
style.css,154,css,259f43a9,Camille Sicat,2025-01-24,11:27:23,-08:00,2025-01-24T11:27:23-08:00,0,0
style.css,155,css,4e0b0055,Camille Sicat,2025-01-30,23:27:29,-08:00,2025-01-30T23:27:29-08:00,0,0
style.css,156,css,4e0b0055,Camille Sicat,2025-01-30,23:27:29,-08:00,2025-01-30T23:27:29-08:00,0,26
style.css,157,css,4e0b0055,Camille Sicat,2025-01-30,23:27:29,-08:00,2025-01-30T23:27:29-08:00,0,18
style.css,158,css,4e0b0055,Camille Sicat,2025-01-30,23:27:29,-08:00,2025-01-30T23:27:29-08:00,0,13
style.css,159,css,4e0b0055,Camille Sicat,2025-01-30,23:27:29,-08:00,2025-01-30T23:27:29-08:00,0,14
style.css,160,css,4e0b0055,Camille Sicat,2025-01-30,23:27:29,-08:00,2025-01-30T23:27:29-08:00,0,19
style.css,161,css,4e0b0055,Camille Sicat,2025-01-30,23:27:29,-08:00,2025-01-30T23:27:29-08:00,0,18
style.css,162,css,4e0b0055,Camille Sicat,2025-01-30,23:27:29,-08:00,2025-01-30T23:27:29-08:00,0,14
style.css,163,css,af7ebb10,Camille Sicat,2025-02-12,13:46:11,-08:00,2025-02-12T13:46:11-08:00,0,25
style.css,164,css,4e0b0055,Camille Sicat,2025-01-30,23:27:29,-08:00,2025-01-30T23:27:29-08:00,0,0
style.css,165,css,4e0b0055,Camille Sicat,2025-01-30,23:27:29,-08:00,2025-01-30T23:27:29-08:00,0,0
style.css,166,css,4e0b0055,Camille Sicat,2025-01-30,23:27:29,-08:00,2025-01-30T23:27:29-08:00,0,18
style.css,167,css,4e0b0055,Camille Sicat,2025-01-30,23:27:29,-08:00,2025-01-30T23:27:29-08:00,0,17
style.css,168,css,4e0b0055,Camille Sicat,2025-01-30,23:27:29,-08:00,2025-01-30T23:27:29-08:00,0,17
